Node,Purpose,Inputs,Outputs,LLM Used,Tools Used,State Modified,Error Handling,Evidence
welcome_node,Initialize session greeting,State,State,None,None,"conversation_history, needs_more_info, age_indicators",None,app/services/chatbot/agent_chatbot.py:L58
age_question_generator,Generate diagnostic age question,"age_answers, age_questions_asked",State,ChatGroq (llama-3.1-8b-instant),None,"current_response, conversation_history",safe_invoke rate limiter retry (OpenAI exception mismatch bug),app/services/chatbot/agent_chatbot.py:L71
age_ans_node,Process user answer to age question,"user_input, conversation_history, age_answers",State,None,None,"conversation_history, age_answers, age_questions_asked",None,app/services/chatbot/agent_chatbot.py:L105
age_router_node,Determine routing flag based on question count,State,State,None,None,age_router_flag,None,app/services/chatbot/agent_chatbot.py:L118
age_evaluation_node,Estimate intellectual age from JSON prompt,age_answers,State,ChatGroq (llama-3.1-8b-instant),None,"estimated_age, age_confidence, age_category, age_indicators, age_assessment_complete, current_response, conversation_history",json.loads (No try-except around JSON parsing),app/services/chatbot/agent_chatbot.py:L142
mental_state_assessor_node,Assess urgency/concern/risk from first message,"conversation_history, age_category, estimated_age",State,ChatGroq (llama-3.1-8b-instant),None,"assessment_score, primary_concern, emotional_state, risk_level, mental_assessment_complete",Fallback default values on string parsing failure,app/services/chatbot/agent_chatbot.py:L184
follow_up_node,Generate empathetic follow-up question,"age_category, estimated_age, primary_concern",State,ChatGroq (llama-3.1-8b-instant),None,"current_response, conversation_history, follow_up_done",None,app/services/chatbot/agent_chatbot.py:L228
guidance_node,Provide final structured guidance,"age_category, estimated_age, assessment_score, primary_concern, emotional_state, risk_level",State,ChatGroq (llama-3.1-8b-instant),None,"final_guidance, current_response, conversation_history",None,app/services/chatbot/agent_chatbot.py:L255
chat_service_node,General chat fallback response,user_input,State,ChatGroq (llama-3.1-8b-instant),None,"current_response, conversation_history",None,app/services/chatbot/agent_chatbot.py:L299
router_node,Update general router flag,State,State,None,None,router_flag,None,app/services/chatbot/agent_chatbot.py:L313
