Variable,Required,Default,Used In,Sensitive,Environments,Validation,Status,Evidence
MONGO_DB_URI,No,mongodb://localhost:27017,app/config.py,Yes,Development / Production,Pydantic BaseSettings,CONFLICT (Hardcoded Atlas connection string in mongo_db.py overrides this),"app/config.py:L7, app/mongo_db.py:L8"
DATABASE_NAME,No,MELLO,app/config.py,No,Development / Production,Pydantic BaseSettings,CONFLICT (mongo_db.py hardcodes 'manika348_db_user'),"app/config.py:L8, app/mongo_db.py:L31"
MONGO_DB_PASSWORD,Yes,None,app/mongo_db.py,Yes,Development / Production,None (os.getenv),VERIFIED (Required for MongoDB connection string),"app/mongo_db.py:L8"
SECRET_KEY,Yes,None,app/authentication/auth.py,Yes,Development / Production,Fallback string if missing,VERIFIED,"app/authentication/auth.py:L14"
ALGORITHM,No,HS256,app/authentication/auth.py,No,Development / Production,None (os.getenv),VERIFIED,"app/authentication/auth.py:L15"
ACCESS_TOKEN_EXPIRE_MINUTES,No,30,app/authentication/auth.py,No,Development / Production,int casting,VERIFIED,"app/authentication/auth.py:L16"
GROQ_API_KEY,Yes,None,"app/services/HWhelper/helper.py, app/services/quiz/groq.py",Yes,Development / Production,None (os.getenv),VERIFIED,"app/services/HWhelper/helper.py:L10, app/services/quiz/groq.py:L7"
GROQ_API_KEY_TEST,Yes,None,app/services/chatbot/llm.py,Yes,Development / Production,None (os.getenv),VERIFIED (Used in llm.py for ChatGroq),"app/services/chatbot/llm.py:L4"
MODEL,No,None,app/services/quiz/groq.py,No,Development / Production,None (os.getenv),CONFLICT (Required by groq.py but no default fallback provided; fails if unset),"app/services/quiz/groq.py:L9"
GEMINI_API_KEY,No,None,app/services/chatbot/agent_chatbot.py,Yes,Development / Production,None (os.getenv),UNUSED (Loaded in agent_chatbot.py but LLM uses Groq),"app/services/chatbot/agent_chatbot.py:L12"
CLOUDINARY_CLOUD_NAME,No,"",app/config.py,No,Development / Production,Pydantic BaseSettings,VERIFIED,"app/config.py:L11"
CLOUDINARY_API_KEY,No,"",app/config.py,Yes,Development / Production,Pydantic BaseSettings,VERIFIED,"app/config.py:L12"
CLOUDINARY_API_SECRET,No,"",app/config.py,Yes,Development / Production,Pydantic BaseSettings,VERIFIED,"app/config.py:L13"
