ID,Severity,Type,Description,User Impact,Evidence,Affected Files,Reproduction,Confidence
BUG-001,Critical,Missing File / Broken Entrypoint,Missing backend entrypoint file app/main.py. FastAPI app instance is never created and routers are never included.,Backend container fails immediately on boot with ModuleNotFoundError or uvicorn target error.,"Dockerfile:L13, git status",ai-learning-backend/app/main.py,Run docker-compose up or uvicorn app.main:app,Confirmed (VERIFIED)
BUG-002,Critical,Runtime Error / Missing Import,deepcopy function is used in POST /chatbot/chat but is not imported in router/chatbot.py.,Any user sending a chat message to the chatbot triggers a HTTP 500 server crash due to NameError.,"app/router/chatbot.py:L128",ai-learning-backend/app/router/chatbot.py,Invoke POST /chatbot/chat,Confirmed (VERIFIED)
BUG-003,Critical,AttributeError / Unhandled Type,Attribute access current_user.id is used in GET /chatbot/status instead of dict indexing current_user['id'] or current_user['_id'].,Status endpoint crashes with 500 Internal Server Error when called by authenticated user.,"app/router/chatbot.py:L176, app/authentication/auth.py:L74",ai-learning-backend/app/router/chatbot.py,Invoke GET /chatbot/status,Confirmed (VERIFIED)
BUG-004,High,Database Collection Mismatch,Chatbot router checks session in db.chat_collection but inserts new session into db.chat_sessions.,"Existing chat sessions are never found upon re-initialization, causing duplicate session insertions or race conditions.",app/router/chatbot.py:L53 & L61,ai-learning-backend/app/router/chatbot.py,Initialize chat twice for same user,Confirmed (VERIFIED)
BUG-005,High,Exception Handling Mismatch,Rate limiter decorator catches openai.RateLimitError but ChatGroq model raises groq.RateLimitError.,LLM rate limit errors trigger unhandled exceptions instead of exponent backoff retries.,"app/services/chatbot/rate_limiter.py:L13, app/services/chatbot/llm.py:L7",ai-learning-backend/app/services/chatbot/rate_limiter.py,Trigger Groq rate limit in chat,Confirmed (VERIFIED)
BUG-006,High,Frontend API Contract Mismatch,Frontend api.js passes headers object into token argument of getDashboardOverview causing 'Authorization: Bearer [object Object]'.,Dashboard page fails to fetch data from backend and displays error state.,"src/pages/Dashboard.jsx:L66, src/api/api.js:L223",ai-learning-frontend/src/pages/Dashboard.jsx,Navigate to /dashboard while logged in,Confirmed (VERIFIED)
BUG-007,High,Frontend Reference Error,HomeWorkHelper.jsx references undefined variable suggestionsMessage on image upload.,Uploading homework image throws Uncaught ReferenceError in browser console.,"src/pages/HomeWorkHelper.jsx:L52",ai-learning-frontend/src/pages/HomeWorkHelper.jsx,Upload image in Homework Helper,Confirmed (VERIFIED)
BUG-008,High,Token Storage & Auth Bug,loginUser in api.js attempts to access response.access_token on Axios response object instead of response.data or cookie.,Token is saved as string 'undefined' in localStorage.,"src/api/api.js:L44",ai-learning-frontend/src/api/api.js,Perform login,Confirmed (VERIFIED)
BUG-009,Medium,Disconnected Backend Functionality,Quiz page uses hardcoded mock questions and ignores backend /quiz/ route.,Quiz page does not use AI quiz generation service.,"src/pages/Quiz.jsx:L63-L86",ai-learning-frontend/src/pages/Quiz.jsx,Start a quiz,Confirmed (VERIFIED)
BUG-010,Medium,Hardcoded DB Credentials,mongo_db.py contains hardcoded Atlas URI username and collection name overriding config.py settings.,"Security risk exposing DB user; prevents environment configuration.",app/mongo_db.py:L8 & L31,ai-learning-backend/app/mongo_db.py,Inspect mongo_db.py source,Confirmed (VERIFIED)
BUG-011,Medium,Unpopulated Data Models,user_activity collection is queried by dashboard endpoints but no backend endpoint or service ever writes to user_activity.,Recent activity and weekly stats always return empty list/0 count.,"app/router/dashboard.py:L273 & L306",ai-learning-backend/app/router/dashboard.py,Fetch recent activity,Confirmed (VERIFIED)
BUG-012,Low,Missing Component Imports,Sidebar.jsx references icon components (Home, MessageSquare, etc.) without importing them.,Rendering Sidebar component would throw ReferenceError (though Sidebar is currently unused).,"src/components/Sidebar.jsx:L3",ai-learning-frontend/src/components/Sidebar.jsx,Render Sidebar component,Confirmed (VERIFIED)
